office,email,emails_all,phone,phones_all,address,region,department,city,url,source,date_scraping
"Office notarial SELARL LEMBREZ et Associés, Notaires à LYON (69004) | 5 rue Duviard",simon.thiriat@lembrez.notaires.fr,simon.thiriat@lembrez.notaires.fr,0426316958,0426316958,Bureau principal 5 rue Duviard 69004 LYON France,Auvergne-Rhône-Alpes,Rhône,Lyon,https://www.notaires.fr/fr/office/selarl-lembrez-et-associes-notaires,notaires.fr,2026-06-19 13:28:41
Office notarial SELARL NOTAIRES CONDRIEU à CONDRIEU (69420) | 40 rue des Granges,notairescondrieu@69036.notaires.fr,notairescondrieu@69036.notaires.fr,0474595233,0474595233,Bureau principal 40 rue des Granges 69420 CONDRIEU France,Auvergne-Rhône-Alpes,Rhône,Condrieu,https://www.notaires.fr/fr/office/selarl-notaires-condrieu,notaires.fr,2026-06-19 13:28:43
"Office notarial SELARL NOTAIRES, Familles et Patrimoines à ARNAS (69400) | 61 route d’Herbain",notnfp@notaires.fr,notnfp@notaires.fr,0474048562,0474048562,Bureau principal 61 route d’Herbain 69400 ARNAS France,Auvergne-Rhône-Alpes,Rhône,Arnas,https://www.notaires.fr/fr/office/selarl-notaires-familles-et-patrimoines,notaires.fr,2026-06-19 13:28:45
"Office notarial SELARL NOTAIRES, Familles et Patrimoines à BEAUJEU (69430) | 35 rue du Général Leclerc",notnfp@notaires.fr,notnfp@notaires.fr,0474048562,0474048562,Bureau principal 35 rue du Général Leclerc 69430 BEAUJEU France,Auvergne-Rhône-Alpes,Rhône,Beaujeu,https://www.notaires.fr/fr/office/selarl-notaires-familles-et-patrimoines-0,notaires.fr,2026-06-19 13:28:47
Office notarial SELARL NOTAIRES LYON CONFLUENCE à LYON (69002) | 72 Cours Charlemagne,confluence@notaires.fr,confluence@notaires.fr,0428299179,0428299179,Bureau principal 72 Cours Charlemagne 69002 LYON France,Auvergne-Rhône-Alpes,Rhône,Lyon,https://www.notaires.fr/fr/office/selarl-notaires-lyon-confluence,notaires.fr,2026-06-19 13:28:48
Office notarial SELARL NOTAIRES LYON HOTEL-DIEU à LYON (69002) | 26 rue Bellecordière,blanche-marie.vincent@vincent-hotel-dieu.notaires.fr,blanche-marie.vincent@vincent-hotel-dieu.notaires.fr,0478058920,0478058920,Bureau principal 26 rue Bellecordière 69002 LYON France,Auvergne-Rhône-Alpes,Rhône,Lyon,https://www.notaires.fr/fr/office/selarl-notaires-lyon-hotel-dieu,notaires.fr,2026-06-19 13:28:50
Office notarial SELARL NOTASOL - NOTAIRES DU SUD OUEST LYONNAIS à BRIGNAIS (69530) | 2 A boulevard André Lassagne,notaires.brignais69055@notaires.fr,notaires.brignais69055@notaires.fr,0478051231,0478051231,Bureau principal 2 A boulevard André Lassagne 69530 BRIGNAIS France,Auvergne-Rhône-Alpes,Rhône,Brignais,https://www.notaires.fr/fr/office/selarl-notasol-notaires-du-sud-ouest-lyonnais,notaires.fr,2026-06-19 13:28:52
Office notarial SELARL OFFICE DE LA COLLINE à LYON (69004) | 57 rue Hénon,luc.bertholon@69132.notaires.fr,luc.bertholon@69132.notaires.fr,0478290380,0478290380,Bureau principal 57 rue Hénon 69004 LYON France,Auvergne-Rhône-Alpes,Rhône,Lyon,https://www.notaires.fr/fr/office/selarl-office-de-la-colline,notaires.fr,2026-06-19 13:28:53
"Office notarial SELARL OFFICE DES LUMIERES à LYON (69004) | 84, quai Joseph Gillet",contact@officedeslumieres.com,contact@officedeslumieres.com,0472411565,0472411565,"Bureau principal 84, quai Joseph Gillet 69004 LYON France",Auvergne-Rhône-Alpes,Rhône,Lyon,https://www.notaires.fr/fr/office/selarl-office-des-lumieres,notaires.fr,2026-06-19 13:28:55
Office notarial SELARL Office notarial de Chaponost à CHAPONOST (69630) | 3 rue des Viollières,etude@tacussel.notaires.fr,etude@tacussel.notaires.fr,0478446778,0478446778,Bureau principal 3 rue des Viollières 69630 CHAPONOST France,Auvergne-Rhône-Alpes,Rhône,Chaponost,https://www.notaires.fr/fr/office/selarl-office-notarial-de-chaponost,notaires.fr,2026-06-19 13:28:57
